Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
"year, tmID, playoff, confID, GF",1.0000,0.3766,0.0030
"year, tmID, playoff, confID, rank",1.0000,0.3766,0.0030
"year, tmID, playoff, divID, GF",1.0000,0.4885,0.0040
"year, tmID, playoff, divID, rank",1.0000,0.4885,0.0030
"year, tmID, playoff, GF, rank",1.0000,0.6162,0.0030
"year, tmID, confID, divID, GF",1.0000,0.5938,0.0030
"year, tmID, confID, divID, rank",1.0000,0.5938,0.0030
"year, tmID, confID, GF, rank",1.0000,0.5938,0.0030
"year, tmID, divID, GF, rank",1.0000,0.7709,0.0040
"year, name, lgID, franchID, playoff",1.0000,0.6162,0.0030
"year, name, lgID, franchID, confID",1.0000,0.5938,0.0040
"year, name, lgID, franchID, divID",1.0000,0.7709,0.0050
"year, name, lgID, franchID, GF",1.0000,1.0000,0.0050
"year, name, lgID, franchID, rank",1.0000,1.0000,0.0050
"year, name, lgID, playoff, confID",1.0000,0.3766,0.0030
"year, name, lgID, playoff, divID",1.0000,0.4885,0.0040
"year, name, lgID, playoff, GF",1.0000,0.6162,0.0040
"year, name, lgID, playoff, rank",1.0000,0.6162,0.0030
"year, name, lgID, confID, divID",1.0000,0.5938,0.0030
"year, name, lgID, confID, GF",1.0000,0.5938,0.0040
"year, name, lgID, confID, rank",1.0000,0.5938,0.0040
"year, name, lgID, divID, GF",1.0000,0.7709,0.0040
"year, name, lgID, divID, rank",1.0000,0.7709,0.0050
"year, name, lgID, GF, rank",1.0000,1.0000,0.0040
"year, name, franchID, playoff, confID",1.0000,0.3766,0.0030
"year, name, franchID, playoff, divID",1.0000,0.4885,0.0030
"year, name, franchID, playoff, GF",1.0000,0.6162,0.0040
"year, name, franchID, playoff, rank",1.0000,0.6162,0.0040
"year, name, franchID, confID, divID",1.0000,0.5938,0.0040
"year, name, franchID, confID, GF",1.0000,0.5938,0.0040
"year, name, franchID, confID, rank",1.0000,0.5938,0.0040
"year, name, franchID, divID, GF",1.0000,0.7709,0.0050
"year, name, franchID, divID, rank",1.0000,0.7709,0.0050
"year, name, franchID, GF, rank",1.0000,1.0000,0.0040
"year, name, playoff, confID, divID",1.0000,0.3766,0.0030
"year, name, playoff, confID, GF",1.0000,0.3766,0.0030
"year, name, playoff, confID, rank",1.0000,0.3766,0.0030
"year, name, playoff, divID, GF",1.0000,0.4885,0.0040
"year, name, playoff, divID, rank",1.0000,0.4885,0.0040
"year, name, playoff, GF, rank",1.0000,0.6162,0.0040
"year, name, confID, divID, GF",1.0000,0.5938,0.0040
"year, name, confID, divID, rank",1.0000,0.5938,0.0030
"year, name, confID, GF, rank",1.0000,0.5938,0.0030
"year, name, divID, GF, rank",1.0000,0.7709,0.0040
"year, lgID, franchID, playoff, confID",1.0000,0.3766,0.0040
"year, lgID, franchID, playoff, divID",1.0000,0.4885,0.0030
"year, lgID, franchID, playoff, GF",1.0000,0.6162,0.0030
"year, lgID, franchID, playoff, rank",1.0000,0.6162,0.0030
"year, lgID, franchID, confID, divID",1.0000,0.5938,0.0030
"year, lgID, franchID, confID, GF",1.0000,0.5938,0.0030
"year, lgID, franchID, confID, rank",1.0000,0.5938,0.0030
"year, lgID, franchID, divID, GF",1.0000,0.7709,0.0040
"year, lgID, franchID, divID, rank",1.0000,0.7709,0.0040
"year, lgID, franchID, GF, rank",1.0000,1.0000,0.0040
"year, lgID, playoff, confID, divID",0.8315,0.3766,0.0030
"year, lgID, playoff, confID, GF",0.9855,0.3766,0.0030
"year, lgID, playoff, confID, rank",0.8808,0.3766,0.0030
"year, lgID, playoff, divID, GF",0.9921,0.4885,0.0030
"year, lgID, playoff, divID, rank",1.0000,0.4885,0.0030
"year, lgID, playoff, GF, rank",0.9882,0.6162,0.0040
"year, lgID, confID, divID, GF",0.9717,0.5938,0.0040
"year, lgID, confID, divID, rank",1.0000,0.5938,0.0040
"year, lgID, confID, GF, rank",0.9901,0.5938,0.0049
"year, lgID, divID, GF, rank",1.0000,0.7709,0.0040
"year, franchID, playoff, confID, divID",1.0000,0.3766,0.0030
