Key,Uniqueness Ratio,Completeness Ratio,Running Time for UR
"tmIDWinner, lgIDLoser, GoalsWinner, GoalsLoser",0.8558,1.0000,0.0020
"tmIDWinner, lgIDLoser, GoalsWinner, note",0.9796,0.0709,0.0020
"tmIDWinner, lgIDLoser, GoalsLoser, note",0.9724,0.0709,0.0020
"tmIDWinner, GoalsWinner, GoalsLoser, note",0.9880,0.0709,0.0020
"tmIDLoser, round, series, lgIDWinner",0.3450,0.8882,0.0030
"tmIDLoser, round, series, lgIDLoser",0.3450,0.8882,0.0030
"tmIDLoser, round, series, GoalsWinner",0.8990,0.8882,0.0030
"tmIDLoser, round, series, GoalsLoser",0.9207,0.8882,0.0030
"tmIDLoser, round, series, note",0.9844,0.0349,0.0020
"tmIDLoser, round, lgIDWinner, lgIDLoser",0.1310,1.0000,0.0030
"tmIDLoser, round, lgIDWinner, GoalsWinner",0.7861,1.0000,0.0030
"tmIDLoser, round, lgIDWinner, GoalsLoser",0.8053,1.0000,0.0030
"tmIDLoser, round, lgIDWinner, note",0.9555,0.0709,0.0010
"tmIDLoser, round, lgIDLoser, GoalsWinner",0.7837,1.0000,0.0030
"tmIDLoser, round, lgIDLoser, GoalsLoser",0.8029,1.0000,0.0030
"tmIDLoser, round, lgIDLoser, note",0.9555,0.0709,0.0020
"tmIDLoser, round, GoalsWinner, GoalsLoser",0.9784,1.0000,0.0030
"tmIDLoser, round, GoalsWinner, note",0.9904,0.0709,0.0010
"tmIDLoser, round, GoalsLoser, note",0.9880,0.0709,0.0020
"tmIDLoser, series, lgIDWinner, lgIDLoser",0.2464,0.8882,0.0020
"tmIDLoser, series, lgIDWinner, GoalsWinner",0.8329,0.8882,0.0030
"tmIDLoser, series, lgIDWinner, GoalsLoser",0.8558,0.8882,0.0030
"tmIDLoser, series, lgIDWinner, note",0.9844,0.0349,0.0020
"tmIDLoser, series, lgIDLoser, GoalsWinner",0.8329,0.8882,0.0030
"tmIDLoser, series, lgIDLoser, GoalsLoser",0.8558,0.8882,0.0030
"tmIDLoser, series, lgIDLoser, note",0.9844,0.0349,0.0030
"tmIDLoser, series, GoalsWinner, GoalsLoser",0.9880,0.8882,0.0020
"tmIDLoser, series, GoalsWinner, note",0.9976,0.0349,0.0020
"tmIDLoser, series, GoalsLoser, note",0.9952,0.0349,0.0020
"tmIDLoser, lgIDWinner, lgIDLoser, GoalsWinner",0.3690,1.0000,0.0030
"tmIDLoser, lgIDWinner, lgIDLoser, GoalsLoser",0.3738,1.0000,0.0030
"tmIDLoser, lgIDWinner, lgIDLoser, note",0.9447,0.0709,0.0020
"tmIDLoser, lgIDWinner, GoalsWinner, GoalsLoser",0.8942,1.0000,0.0030
"tmIDLoser, lgIDWinner, GoalsWinner, note",0.9856,0.0709,0.0020
"tmIDLoser, lgIDWinner, GoalsLoser, note",0.9736,0.0709,0.0020
"tmIDLoser, lgIDLoser, GoalsWinner, GoalsLoser",0.8918,1.0000,0.0030
"tmIDLoser, lgIDLoser, GoalsWinner, note",0.9856,0.0709,0.0020
"tmIDLoser, lgIDLoser, GoalsLoser, note",0.9712,0.0709,0.0020
"tmIDLoser, GoalsWinner, GoalsLoser, note",0.9952,0.0709,0.0010
"round, series, lgIDWinner, lgIDLoser",0.1118,0.8882,0.0030
"round, series, lgIDWinner, GoalsWinner",0.4675,0.8882,0.0030
"round, series, lgIDWinner, GoalsLoser",0.5252,0.8882,0.0030
"round, series, lgIDWinner, note",0.9651,0.0349,0.0020
"round, series, lgIDLoser, GoalsWinner",0.4675,0.8882,0.0030
"round, series, lgIDLoser, GoalsLoser",0.5252,0.8882,0.0030
"round, series, lgIDLoser, note",0.9651,0.0349,0.0020
"round, series, GoalsWinner, GoalsLoser",0.9014,0.8882,0.0030
"round, series, GoalsWinner, note",0.9784,0.0349,0.0020
"round, series, GoalsLoser, note",0.9772,0.0349,0.0020
"round, lgIDWinner, lgIDLoser, GoalsWinner",0.1370,1.0000,0.0030
"round, lgIDWinner, lgIDLoser, GoalsLoser",0.1310,1.0000,0.0030
"round, lgIDWinner, lgIDLoser, note",0.9339,0.0709,0.0020
"round, lgIDWinner, GoalsWinner, GoalsLoser",0.7224,1.0000,0.0020
"round, lgIDWinner, GoalsWinner, note",0.9567,0.0709,0.0020
"round, lgIDWinner, GoalsLoser, note",0.9531,0.0709,0.0020
"round, lgIDLoser, GoalsWinner, GoalsLoser",0.7236,1.0000,0.0030
"round, lgIDLoser, GoalsWinner, note",0.9567,0.0709,0.0020
"round, lgIDLoser, GoalsLoser, note",0.9531,0.0709,0.0020
"round, GoalsWinner, GoalsLoser, note",0.9748,0.0709,0.0020
"series, lgIDWinner, lgIDLoser, GoalsWinner",0.2212,0.8882,0.0030
"series, lgIDWinner, lgIDLoser, GoalsLoser",0.2344,0.8882,0.0030
"series, lgIDWinner, lgIDLoser, note",0.9651,0.0349,0.0020
"series, lgIDWinner, GoalsWinner, GoalsLoser",0.7849,0.8882,0.0030
"series, lgIDWinner, GoalsWinner, note",0.9760,0.0349,0.0020
"series, lgIDWinner, GoalsLoser, note",0.9736,0.0349,0.0020
"series, lgIDLoser, GoalsWinner, GoalsLoser",0.7849,0.8882,0.0030
"series, lgIDLoser, GoalsWinner, note",0.9760,0.0349,0.0020
"series, lgIDLoser, GoalsLoser, note",0.9736,0.0349,0.0020
"series, GoalsWinner, GoalsLoser, note",0.9952,0.0349,0.0010
"lgIDWinner, lgIDLoser, GoalsWinner, GoalsLoser",0.2464,1.0000,0.0020
"lgIDWinner, lgIDLoser, GoalsWinner, note",0.9471,0.0709,0.0020
"lgIDWinner, lgIDLoser, GoalsLoser, note",0.9435,0.0709,0.0010
"lgIDWinner, GoalsWinner, GoalsLoser, note",0.9663,0.0709,0.0020
"lgIDLoser, GoalsWinner, GoalsLoser, note",0.9663,0.0709,0.0020
"year, tmIDWinner, tmIDLoser, round, series",1.0000,0.8882,0.0030
"year, tmIDWinner, tmIDLoser, round, lgIDWinner",1.0000,1.0000,0.0030
"year, tmIDWinner, tmIDLoser, round, lgIDLoser",1.0000,1.0000,0.0030
"year, tmIDWinner, tmIDLoser, round, GoalsWinner",1.0000,1.0000,0.0039
"year, tmIDWinner, tmIDLoser, round, GoalsLoser",1.0000,1.0000,0.0030
"year, tmIDWinner, tmIDLoser, round, note",1.0000,0.0709,0.0010
"year, tmIDWinner, tmIDLoser, series, lgIDWinner",1.0000,0.8882,0.0030
"year, tmIDWinner, tmIDLoser, series, lgIDLoser",1.0000,0.8882,0.0030
"year, tmIDWinner, tmIDLoser, series, GoalsWinner",1.0000,0.8882,0.0030
